hanzi,tian_level,hsk_level,pinyin,primary_reading,simple_meaning,meaning,meaning_mnemonic,reading_mnemonic,components,in_names
的,21,1,de;dī;dí;dì,de,,,,,白 勹 丶,false
见,21,1,jiàn;xiàn,jiàn,,,,,见,false
左,21,2,zuǒ,zuǒ,,,,,𠂇 工,true
红,21,2,hóng,hóng,,,,,纟 工,true
诉,21,2,sù,sù,,,,,讠 斤 丶,false
近,21,2,jìn,jìn,,,,,辶 斤,false
怕,21,3,pà,pà,,,,,忄 白,true
拍,21,3,pāi,pāi,,,,,扌 白,false
斤,21,3,jīn,jīn,,,,,斤,false
们,22,1,men,men,,,,,亻 门,false
喜,22,1,xǐ,xǐ,,,,,士 口 丷 一,false
士,22,1,shì,shì,,,,,士,true
睡,22,1,shuì,shuì,,,,,目 ㇒ 十 士 艹,false
问,22,1,wèn,wèn,,,,,门 口,false
间,22,1,jiān;jiàn,jiān,,,,,门 日,false
门,22,2,mén,mén,,,,,门,true
丢,22,3,diū,diū,,,,,㇒ 士 厶,false
决,22,3,jué,jué,,,,,冫 丨 人,false
凉,22,3,liáng;liàng,liáng,,,,,冫 亠 口 小,true
凌,22,3,líng,líng,,,,,冫 土 八 夂,true
声,22,3,shēng,shēng,,,,,士 丨,false
简,22,3,jiǎn,jiǎn,,,,,⺮ 门 日,false
结,22,3,jiē;jié,jiē,,,,,纟 士 口,false
买,24,1,mǎi,mǎi,,,,,㇖ 大 ⺀,false
亮,24,1,liàng,liàng,,,,,亠 口 冖 几,false
兴,24,1,xīng;xìng,xīng,,,,,⺍ 一 八,true
几,24,1,jī;jǐ,jī,,,,,几,false
卖,24,1,mài,mài,,,,,十 ㇖ 大 ⺀,false
学,24,1,xué,xué,,,,,⺍ 冖 子,false
机,24,1,jī,jī,,,,,木 几,true
觉,24,1,jiào;jué,jiào,,,,,⺍ 冖 见,false
读,24,1,dòu;dú,dòu,,,,,讠 十 ㇖ 大 ⺀,false
钟,24,1,zhōng,zhōng,,,,,钅 口 丨,true
铁,24,2,tiě,tiě,,,,,钅 人 二 ㇒,true
错,24,2,cuò,cuò,,,,,钅 艹 一 日,true
朵,24,3,duǒ,duǒ,,,,,几 木,false
检,24,3,jiǎn,jiǎn,,,,,木 人 一 ⺍,false
脸,24,3,liǎn,liǎn,,,,,月 人 一 ⺍,false
铅,24,3,qiān,qiān,,,,,钅 几 口,false
冷,25,1,lěng,lěng,,,,,冫 人 丶 龴,true
前,25,1,qián,qián,,,,,丷 一 月 刂,false
午,25,1,wǔ,wǔ,,,,,干 ㇒,false
苹,25,1,píng,píng,,,,,艹 干 丷,false
别,25,2,bié;biè,bié,,,,,口 力 刂,true
经,25,2,jīng,jīng,,,,,纟 龴 工,true
舒,25,2,shū,shū,,,,,人 干 口 龴 ㇖ 亅,true
于,25,3,yú,yú,,,,,干 亅,true
刚,25,3,gāng,gāng,,,,,冂 乂 刂,false
南,25,3,nán,nán,,,,,十 冂 丷 干,true
干,25,3,gān;gàn,gān,,,,,干,true
平,25,3,píng,píng,,,,,干 丷,true
邻,25,3,lín,lín,,,,,人 丶 龴 阝,false
除,25,3,chú,chú,,,,,阝 人 干 小,false
候,27,1,hòu,hòu,,,,,亻 丨 矢,false
分,27,1,fēn;fèn,fēn,,,,,八 刀,false
找,27,1,zhǎo,zhǎo,,,,,扌 戈,false
点,27,1,diǎn,diǎn,,,,,⺊ 口 灬,false
知,27,1,zhī,zhī,,,,,矢 口,false
旁,27,2,páng,páng,,,,,亠 丷 冖 方,false
游,27,2,yóu,yóu,,,,,氵 方 丿 一 子,true
绍,27,2,shào,shào,,,,,纟 刀 口,true
城,27,3,chéng,chéng,,,,,土 一 丿 ㇆ 戈,false
戏,27,3,xì,xì,,,,,又 戈,false
成,27,3,chéng,chéng,,,,,一 丿 ㇆ 戈,true
或,27,3,huò,huò,,,,,戈 口 一,false
方,27,3,fāng,fāng,,,,,方,true
照,27,3,zhào,zhào,,,,,日 刀 口 灬,false
熊,27,3,xióng,xióng,,,,,厶 月 灬,true
名,28,1,míng,míng,,,,,夕 口,false
四,28,1,sì,sì,,,,,囗 儿,false
外,28,1,wài,wài,,,,,夕 卜,false
床,28,1,chuáng,chuáng,,,,,广 木,false
请,28,1,qǐng,qǐng,,,,,讠 青,false
雨,28,1,yǔ;yù,yǔ,,,,,雨,false
零,28,1,líng,líng,,,,,雨 人 丶 龴,false
因,28,2,yīn,yīn,,,,,囗 大,false
店,28,2,diàn,diàn,,,,,广 ⺊ 口,false
情,28,2,qíng,qíng,,,,,忄 青,false
晴,28,2,qíng,qíng,,,,,日 青,false
睛,28,2,jīng,jīng,,,,,目 青,false
园,28,3,yuán,yuán,,,,,囗 二 儿,true
图,28,3,tú,tú,,,,,囗 夂 ⺀,false
应,28,3,yīng;yìng,yīng,,,,,广 ⺍ 一,true
清,28,3,qīng,qīng,,,,,氵 青,true
脏,28,3,zàng;zāng,zàng,,,,,月 广 土,false
两,29,1,liǎng,liǎng,,,,,一 从 冂,false
坐,29,1,zuò,zuò,,,,,土 从,true
脑,29,1,nǎo,nǎo,,,,,月 亠 凵 乂,false
从,29,2,cóng,cóng,,,,,从,true
画,29,2,huà,huà,,,,,一 田 凵,false
路,29,2,lù,lù,,,,,⻊ 夂 口,true
跳,29,2,tiào,tiào,,,,,⻊ 儿 冫,false
踢,29,2,tī,tī,,,,,⻊ 日 勹,false
典,29,3,diǎn,diǎn,,,,,二 凵 八,false
满,29,3,mǎn,mǎn,,,,,氵 艹 一 从 冂,true
演,29,3,yǎn,yǎn,,,,,氵 宀 一 二 丨 凵 八,false
邮,29,3,yóu,yóu,,,,,二 丨 凵 阝,false
黄,29,3,huáng,huáng,,,,,艹 一 二 丨 凵 八,true
些,31,1,xiē,xiē,,,,,止 匕 二,false
我,31,1,wǒ,wǒ,,,,,手 戈,false
手,31,1,shǒu,shǒu,,,,,手,false
新,31,1,xīn,xīn,,,,,立 十 小 斤,true
欢,31,1,huān,huān,,,,,又 欠,false
正,31,1,zhēng;zhèng,zhēng,,,,,一 止,false
超,31,1,chāo,chāo,,,,,走 刀 口,false
位,31,2,wèi,wèi,,,,,亻 立,false
拿,31,2,ná,ná,,,,,人 一 口 手,false
次,31,2,cì,cì,,,,,冫 欠,false
步,31,2,bù,bù,,,,,止 小 丿,true
站,31,2,zhàn,zhàn,,,,,立 ⺊ 口,false
走,31,2,zǒu,zǒu,,,,,走,false
接,31,3,jiē,jiē,,,,,扌 立 女,false
了,32,1,le;liǎo;liào,le,,,,,㇇ 亅,false
今,32,1,jīn,jīn,,,,,人 丶 ㇇,false
做,32,1,zuò,zuò,,,,,亻 十 口 ⺙,false
和,32,1,hé;hè;hú;huó;huò,hé,,,,,禾 口,true
租,32,1,zū,zū,,,,,禾 月 一,false
泳,32,2,yǒng,yǒng,,,,,氵 ㇆ ㇇ 丶,false
眼,32,2,yǎn,yǎn,,,,,目 艮,false
跟,32,2,gēn,gēn,,,,,⻊ 艮,false
季,32,3,jì,jì,,,,,禾 子,true
放,32,3,fàng,fàng,,,,,方 ⺙,false
故,32,3,gù,gù,,,,,十 口 ⺙,false
根,32,3,gēn,gēn,,,,,木 艮,false
激,32,3,jī,jī,,,,,氵 白 方 ⺙,false
矮,32,3,ǎi,ǎi,,,,,矢 禾 女,false
种,32,3,zhǒng;zhòng,zhǒng,,,,,禾 口 丨,false
腿,32,3,tuǐ,tuǐ,,,,,月 辶 艮,false
银,32,3,yín,yín,,,,,钅 艮,false
